ISSN,E-ISSN,Başlık
"1303-5304","2757-5845","Review of Armenian Studies"
,"2146-0353","Review of International Geographical Education"
,"2980-1559","Rheumatology quarterly"
,"2980-0331","Rize ilahiyat dergisi"
"2636-8005",,"Roman dili ve kültürü araştırmaları enstitüsü dergisi"
"1300-5286",,"Romatizma Dergisi"
"1300-0691",,"Romatoloji ve Tıbbi Rehabilitasyon Dergisi"
"2148-7782","2148-9599","RumeliDE Dil ve Edebiyat Araştırmaları Dergisi"
,"2757-7899","Rusya Araştırmaları Dergisi (Online)"
,"2651-4060","Sabiad"
"1018-3655","1018-3655","Sağlık Bilimleri Dergisi"
,"2667-8357","Sağlık Bilimleri Üniversitesi Hemşirelik Dergisi (Online)"
"2148-7588",,"Sağlık Bilimleri ve Meslekleri Dergisi /Journal of Health Sciences and Professions"
,"2792-0542","Sağlık bilimlerinde değer (Online)"
,"2149-018X","Sağlık ve Hemşirelik Yönetimi Dergisi"
,"3023-6754","Sağlık ve Toplum"
"2147-768X",,"Sakarya Hukuk Dergisi (SHD)"
,"2146-409X","Sakarya Tıp Dergisi"
,"2636-8129","Sakarya University Journal of Computer and Information Sciences  (Online)"
,"2146-7455","Sakarya University Journal of Education"
,"2147-835X","Sakarya Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
"2146-9806","1304-6535","Sakarya Üniversitesi İlahiyat Fakültesi Dergisi"
,"2146-9059","Sanat & Tasarım Dergisi"
,"2687-4857","Sanat Dergisi: Atatürk Üniversitesi Güzel Sanatlar Fakültesi"
"1300-5707","2636-8064","Sanat Tarihi Dergisi"
,"2717-6940","Sanat Tarihi Yıllığı"
,"2149-6595","Sanat ve Tasarım Dergisi"
,"2458-8903","Sanat Yazıları"
"1303-698X",,"SAREM Stratejik Arastirmalar Dergisi"
"2718-0301","2718-0700","SAVSAD Savunma ve Savaş Araştırmaları Dergisi"
"1303-6831","2148-1776","Savunma Bilimleri Dergisi"
"1300-1981","2651-351X","Sayıştay Dergisi"
,"2792-0771","Seatific journal(Online)"
,"2148-7529","Selcuk Dental Journal"
,"2458-8377","Selcuk Journal of Agriculture  and Food Sciences"
,"2148-2942","Selçuk İletişim"
"1309-0550",,"Selçuk Tarım ve Gıda Bilimleri Dergisi"
,"2149-8059","Selçuk Tıp Dergisi"
"1300-9915",,"Selçuk Üniversitesi Beden Eğitimi ve Spor Bilim Dergisi"
"1300-5170",,"Selçuk Üniversitesi Diş Hekimliği Fakültesi Dergisi"
,"2458-908X","Selçuk Üniversitesi Edebiyat Fakültesi Dergisi"
"1300-4905",,"Selçuk Üniversitesi Fen Edebiyat Fakültesi Fen Dergisi"
"1306-8075","2548-1177","Selçuk Üniversitesi Hukuk Fakültesi Dergisi"
"1303-8370",,"Selçuk Üniversitesi İktisadi ve İdari Bilimler Fakültesi Sosyal ve Ekonomik Araştırmalar Dergisi"
,"2147-9364","Selçuk Üniversitesi Mühendislik Bilim ve Teknoloji Dergisi"
"1300-5200","1304-8708","Selçuk Üniversitesi Mühendislik-Mimarlık Fakültesi Dergisi"
,"2667-4750","Selçuk Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
,"2564-7458","Selçuk Üniversitesi Sosyal Bilimler Meslek Yüksekokulu Dergisi"
,"2458-9071","Selçuk Üniversitesi Türkiyat Araştırmaları Dergisi"
"1300-5774",,"Selçuk Üniversitesi Ziraat Fakültesi Dergisi (:Selçuk Tarım ve Gıda Bilimleri Dergisi)"
"1015-2105","2548-0154","Selçuklu Araştırmaları Dergisi"
"2651-2602","2548-0367","Selçuklu medeniyeti araştırmaları dergisi (Online)"
"2148-4120",,"Seleucia (ad Calycadnum)"
,"2548-0871","Seyahat ve Otel İşletmeciliği Dergisi"
"1306-6153",,"SİCİL İŞ HUKUKU DERGİSİ"
"2148-385X",,"Siirt Üniversitesi İlahiyat Fakültesi Dergisi"
"2147-8406","2548-0111","Siirt Üniversitesi Sosyal Bilimler Enstitüsü dergisi (Online)"
,"2636-784X","sinecine: Sinema Araştırmaları Dergisi"
,"2547-9458","SineFilozofi"
"2536-4383","2564-7873","Sinop Üniversitesi fen bilimleri dergisi"
"2547-989X","2717-8862","Sinop Üniversitesi sosyal bilimler dergisi"
,"2618-6330","Siyasal: Journal of Political Sciences (Online)"
"2791-9234","2822-5279","Soil Studies"
"1302-4922",,"Solunum"
"1300-2961",,"Solunum Hastalıkları"
,"2564-680X","Sosyal Bilimler Araştırmaları Dergisi"
"2146-5649","2687-332X","Sosyal Güvence"
,"2148-483X","SOSYAL GÜVENLİK DERGİSİ"
,"2718-1081","Sosyal Mucit Academic Review"
"2148-9424","2651-4265","Sosyal Politika Çalışmaları Dergisi"
"1304-0103","2548-0405","Sosyal Siyaset Konferansları Dergisi"
"1305-5577",,"Sosyoekonomi"
,"2148-9947","Sosyoloji Araştırmaları Dergisi"
"1300-5642","2687-5276","Sosyoloji Dergisi"
"1304-0243",,"Sosyoloji Konferansları"
"2587-0998","2587-1404","Southern Clinics of Istanbul Eurasia"
,"2548-0502","Söylem Filoloji Dergisi"
,"2458-9675","Spiritual Psychology and Counseling"
,"2548-0723","Spor Bilimleri Araştırmaları Dergisi"
,"2667-6672","Spor Bilimleri Dergisi"
,"2587-1498","Spor Hekimliği Dergisi"
,"1309-8543","Spor ve Performans Araştırmaları Dergisi"
"1304-284X","2717-6347","SPORMETRE BEDEN EĞİTİMİ VE SPOR BİLİMLERİ DERGİSİ"
"1300-7742",,"SSK İzmir Eğitim Hastanesi Tıp Dergisi"
"1018-1369",,"SSK Tepecik Eğitim Hastanesi Dergisi"
"1300-0853","2148-5348","STED/Sürekli Tıp Eğitimi Dergisi"
"1300-1590","2148-3140","Su Ürünleri Dergisi"
"1308-0474",,"Suç ve Ceza"
"2791-6650","2791-6804","Sufiyye"
"1302-8944",,"Süleyman Demirel Üniversitesi  Burdur Eğitim Fakültesi Dergisi"
,"1308-7517","Süleyman Demirel Üniversitesi Eğirdir Su Ürünleri Fakültesi Dergisi"
,"1308-6529","Süleyman Demirel Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
,"1306-7575","Süleyman Demirel Üniversitesi Fen Edebiyat Fakültesi Fen Dergisi"
"1300-9435","2667-6206","Süleyman Demirel Üniversitesi Fen-Edebiyat Fakültesi Sosyal Bilimler Dergisi"
"2146-7129","2980-2989","SÜLEYMAN DEMİREL ÜNİVERSİTESİ HUKUK FAKÜLTESİ DERGİSİ"
,"3023-8471","Süleyman Demirel Üniversitesi insan ve toplum bilimleri dergisi"
"1301-0611",,"Süleyman Demirel Üniversitesi Mühendislik Mimarlık Fakültesi Makina Mühendisliği Dergisi"
"1302-7085","1309-2111","Süleyman Demirel Üniversitesi Orman Fakültesi Dergisi Seri: A"
,"2146-247X","Süleyman Demirel Üniversitesi Sağlık Bilimleri Dergisi"
,"2602-2109","Süleyman Demirel Üniversitesi Tıp Fakültesi Dergisi"
,"1308-9552","Süleyman Demirel Üniversitesi Vizyoner Dergisi"
"1304-9984",,"Süleyman Demirel Üniversitesi Ziraat fakültesi Dergisi"
,"2717-6916","Şarkiyat Mecmuası"
,"2667-6575","ŞIRNAK ÜNİVERSİTESİ İLAHİYAT FAKÜLTESİ DERGİSİ"
"1302-7123",,"Şişli Etfal Hastanesi Tıp Bülteni"
"1302-311X",,"Taksim Eğitim ve Araştırma Hastanesi Tıp Dergisi"
,,"Taksim Hastanesi Tıp Bülteni"
,"2717-7122","Talent (Online)"
"1300-4360",,"Tanısal ve Girişimsel Radyoloji (Yeni Adı: Dİagnostic & Intervent. Radiol)"
,"2148-9297","Tarım Bilimleri Dergisi"
,"2687-2765","Tarım ekonomisi araştırmaları dergisi (tead)"
"1303-0183","3023-5596","Tarım Ekonomisi Dergisi"
,"2651-4230","Tarım Makinaları Bilimi Dergisi"
"1015-1826","2980-1419","Tarih Araştırmaları Dergisi"
,"2619-9505","Tarih Dergisi"
"0257-4152","0257-4152","Tarih İncelemeleri Dergisi"
"1308-5298","2148-4260","Tarih Okulu Dergisi"
,"1308-5468","Tarihin Peşinde Uluslararası Tarih ve Sosyal Araştırmalar Dergisi"
"1302-4310",,"Tarla Bitkileri Merkez Araştırma Enstitüsü Dergisi"
"1302-2636","1302-2636","Tasarım+Kuram"
"1302-3543","2822-2539","Tasavvuf İlmi ve Akademik Araştırma Dergisi"
,"2619-9130","Tasavvur - Tekirdağ İlahiyat Dergisi (Online)"
"1302-3209",,"Tavukçuluk Araştırma Dergisi"
,"2618-5997","TBV Bilgisayar Bilimleri ve Mühendisliği Dergisi"
"0368-0355",,"Technical University of Istanbul Bulletin"
"1302-0056","1308-2051","Technology"
,"2587-0882","Tefsir Araştırmaları Dergisi"
"1302-7050","2146-5894","Tekirdağ Ziraat Fakültesi Dergisi"
"1300-3453",,"Teknik Dergi"
"1300-6436",,"Tekstil Maraton"
"1300-3356","2602-3075","Tekstil ve Konfeksiyon"
"1300-7599","2147-0510","Tekstil ve Mühendis"
"1300-9982",,"Tekstil ve Teknik"
"2148-371X","2651-5148","Temaşa Erciyes Üniversitesi Felsefe Bölümü Dergisi"
"1306-9802","2791-8432","Terazi Hukuk Dergisi"
"2148-2462","2458-9217","TESAM AKADEMİ"
"1300-3399","2667-7555","Tesisat Mühendisliği"
,"2822-3322","Tetkik (Online)"
"2149-2263","2149-2271","The Anatolian Journal of Cardiology"
"2630-5593","2651-3455","The anatolian journal of family medicine (Online)"
,"3023-6215","The Anatolian journal of general medical research"
,"2792-0151","The Atlantic Journal of Medical Science and Research (Online)"
,"2149-3189","The European Research Journal"
,"2149-1976","The Journal of Breast Health"
,"2718-0875","The journal of pediatric academy (Online)"
"2147-9445","2587-2478","The Journal of Pediatric Research"
,"3023-6940","The new journal of urology"
,"2602-4837","The Turkish Journal of Ear Nose and Throat"
,"2146-5193","The Turkish Online Journal of Design, Art and Communication"
,"1302-6488","The Turkish Online Journal of Distance Education"
"0544-1943","2667-5382","The Turkish Yearbook of International Relations"
,"2979-9139","Thoracic research and practice"
,"2149-309X","Tıbbi Sosyal Hizmet Dergisi"
,,"Tıp Araştırmaları Dergisi"
,"1303-328X","Tıp Eğitimi Dünyası"
"2147-1045","2149-4193","Tıp Hukuku Dergisi"
"2149-4576",,"Ticaret ve Fikri Mülkiyet Hukuku Dergisi"
"1306-6757",,"TİSK Akademi"
"1303-8605","2687-4636","Tiyatro Eleştirmenliği ve Dramaturji Bölümü Dergisi"
"2717-6134","2717-610X","Tokat ilmiyat dergisi"
"1300-9354",,"Toplum ve Bilim"
"1300-4387","2757-5004","Toplum ve Hekim"
,"2602-280X","Toplum ve Sosyal Hizmet"
,"2146-8141","Toprak Bilimi ve Bitki Besleme Dergisi"
"2146-7072","2148-5534","Toprak Su Dergisi"
"1302-7808",,"Toraks Dergisi"
,"2687-1971","Tourism and recreation (Online)"
,,"TPJD Bülteni"
"2651-4559","2651-4567","Trabzon ilahiyat dergisi"
,"2667-8071","Trafik ve Ulaşım Araştırmaları Dergisi (Online)"
"2630-6301",,"Trakya Eğitim Dergisi"
,"2528-9691","Trakya University Journal of Natural Sciences"
"2147-1371",,"Trakya Üniversitesi Balkan Araştırma Enstitüsü Dergisi"
"1302-647X",,"Trakya Üniversitesi Bilimsel Araştırmalar Dergisi B Serisi Fen Bilimleri"
"1302-647X",,"Trakya Üniversitesi Bilimsel Araştırmalar Dergisi C SERİSİ SOSYAL BİLİMLER"
"1309-7660","2717-7785","Trakya Üniversitesi Edebiyat Fakültesi Dergisi"
"2146-071X",,"Trakya Üniversitesi Eğitim Fakültesi Dergisi"
"1305-6468",,"Trakya Üniversitesi Fen Bilimleri Dergisi"
,"2147-2483","Trakya Üniversitesi İktisadi ve İdari Bilimler Fakültesi e-Dergi"
"1305-7766","2587-2451","Trakya Üniversitesi Sosyal Bilimler Dergisi"
"1301-3149",,"Trakya Üniversitesi Tıp Fakültesi Dergisi"
,"2822-2652","Trends in business and economics (Online)"
,"2792-0429","Trends in Pediatrics"
"2149-9446",,"TRT Akademi"
"1303-734X",,"TSK Koruyucu Hekimlik Bülteni"
,"2822-2725","Turcology research (Online)"
"1300-1744",,"Turgut Özal Tıp Merkezi Dergisi"
,"2149-1690","Turizm Akademik Dergisi"
"2667-7466","2667-7474","Turkish archives of otorhinolaryngology"
,"2757-6256","Turkish archives of pediatrics (Online)"
,"2459-1726","Turkish Endodontic Journal"
,"2147-4516","Turkish History Education Journal"
,"1303-6173","Turkish Journal of Agriculture and Forestry"
,"2667-6370","Turkish Journal of Anaesthesiology and Reanimation"
,"2687-6698","Turkish Journal of Analytical Chemistry (Online)"
"2149-9659","2528-9462","Turkish Journal of Aquatic Sciences"
"1300-0152","1303-6092","Turkish Journal of Biology"
,"1303-6106","Turkish Journal of Botany"
"1019-3103",,"Turkish Journal of Cancer"
,"3062-3707","Turkish journal of cerebrovascular diseases"
"1300-0527","1303-6130","Turkish Journal of Chemistry"
"2822-6836",,"Turkish journal of civil engineering"
,"3023-7505","Turkish journal of clinical and experimental ophthalmology"
,"2149-8296","Turkish Journal of Clinics and Laboratory"
"1300-0985","1303-619X","Turkish Journal of Earth Sciences"
,"2147-2858","Turkish Journal of Education"
,"1300-0632","Turkish Journal of Electrical Engineering and Computer Sciences"
,"2791-6049","Turkish journal of electrical power and energy systems (Online)"
,"2452-2473","Turkish journal of emergency medicine (Online)"
"1301-2193","1308-9846","Turkish Journal of Endocrinology and Metabolism"
"2587-1366",,"Turkish Journal of Engineering"
"1300-0160","1303-6157","Turkish Journal of Engineering and Environmental Sciences"
,"1307-2048","Turkish Journal of Family Medicine and Primary Care"
"1301-1111","3023-6657","Turkish Journal of Field Crops"
,"2149-181X","Turkish Journal of Fisheries and Aquatic Sciences"
,"2618-6616","Turkish journal of forest science (Online)"
,"2149-3898","Turkish Journal of Forestry"
,"2148-5607","Turkish Journal of Gastroenterology"
"1300-7777","1308-5263","Turkish Journal of Hematology"
,"2147-8325","Turkish Journal of Immunology"
,"2459-0134","Turkish Journal of Kinesiology"
"1300-7122",,"Turkish Journal of Marine Sciences"
,"2564-7016","Turkish Journal of Maritime and Marine Sciences"
"1300-0098","1303-6149","Turkish Journal of Mathematics"
,"2148-1830","Turkish Journal of Mathematics and Computer Science"
"1300-0144","1303-6165","Turkish Journal of Medical Sciences"
,"2667-4440","Turkish journal of nephrology (Online)"
,"3023-7874","Turkish journal of neurology"
"1304-1495",,"Turkish Journal of Nuclear Medicine (. Molecular Imaging and Radionuclide Therapy)"
,"2791-7185","Turkish journal of nuclear sciences (Online)"
"2149-9322","2149-9330","Turkish Journal of Obstetrics and Gynecology"
,"2148-9505","Turkish Journal of Orthodontics"
,"3023-767X","Turkish journal of pediatric surgery"
"0041-4301",,"Turkish Journal of Pediatrics"
"1304-530X","2148-6247","Turkish Journal of Pharmaceutical Sciences"
,"2587-1250","Turkish Journal of Physical Medicine and Rehabilitation"
"1300-0101","1303-6122","Turkish Journal of Physics"
,"2528-8644","Turkish Journal of Plastic Surgery"
,"2718-0492","Turkish journal of range and forage science (Online)"
"1309-0291",,"Turkish Journal of Rheumatology(.)Archives of Rheumatology"
,"1308-9099","Turkish Journal of Science & Technology"
"2564-6850","2564-7032","Turkish Journal of Surgery"
"2149-3235","2149-3057","Turkish Journal of Urology"
,"2667-5080","Turkish journal of vascular surgery"
"1300-0128","1303-6181","Turkish Journal of Veterinary and Animal Sciences"
,"2602-3695","Turkish Journal of Veterinary Research (Online)"
"2536-474X","2564-7334","Turkish Journal of Water Science and Management"
"1300-0179","1303-6114","Turkish Journal of Zoology"
"1019-5149",,"Turkish Neurosurgery"
,"1309-6591","Turkish Online Journal of Qualitative Inquiry"
"1302-7786",,"Turkish Respiratory Journal"
,"2667-5625","Turkish Studies - Economics, Finance, Politics"
,"2667-5609","Turkish Studies - Educational Sciences"
,"2667-5552","Turkish Studies - Historical Analysis"
,"2667-5633","Turkish Studies - Information Technologies and Applied Sciences"
,"2667-5641","Turkish Studies - Language and Literature"
,"2667-5617","Turkish Studies - Social Sciences"
,"1308-2140","Turkish Studies (Elektronik)"
,"2667-5544","Turkish Studies- Comparative Religious Studies"
,"2149-2530","Turkish Thoracic Journal"
"1301-8566","2667-5005","TÜBA-AR: Türkiye Bilimler Akademisi Arkeoloji Dergisi"
"1304-2440","2667-5013","TÜBA-KED Türkiye Bilimler Akademisi Kültür Envanteri Dergisi"
"0494-1373",,"Tüberküloz ve Toraks"
"1309-6362","2667-8349","Tüketici ve Tüketim Araştırmaları Dergisi"
"1304-0871","1305-614X","Türk Anestezi ve Reanimasyon Dergisi"
"1303-765X",,"Türk Aritmi Pacemaker ve Elektrofizyoloji Dergisi"
,"2146-9113","Türk Beyin Damar Hastalıkları Dergisi"
,"1309-4653","Türk Bilgisayar ve Matematik Eğitimi Dergisi"
"1303-829X","1303-829X","Türk Biyokimya Dergisi"
"1302-5856","1308-9773","Türk Coğrafya Dergisi"
,"2687-301X","Türk deprem araştırma dergisi (Online)"
"1307-7635","1308-5255","Türk Dermatoloji Dergisi"
"0564-5050","2651-5113","Türk Dili Araştırmaları Yıllığı - Belleten"
,"2149-6366","Türk Doğa ve Fen Dergisi"
"0255-0644","2822-342X","Türk Dünyası Araştırmaları"
"1301-0077","2651-5091","Türk Dünyası Dil ve Edebiyat Dergisi"
"1301-2045",,"Türk Dünyası İncelemeleri Dergisi"
,"2459-1912","Türk Eğitim Bilimleri Dergisi"
"1300-4018",,"Türk Fertilite Dergisi"
,"2148-0109","Türk Fizyoterapi ve Rehabilitasyon"
"2651-4451","2651-446X","Türk Fizyoterapi ve Rehabilitasyon Dergisi (Online)"
"1304-2947","1307-9948","Türk Geriatri Dergisi"
"1301-7799","1301-7799","Türk Girişimsel Kardiyoloji Derg."
,"2149-8156","Türk Göğüs Kalp Damar Cerrahisi Dergisi"
"1301-8825",,"Türk Hematoloji Onkoloji Dergisi"
"0377-9777","1308-2523","Türk Hijyen ve Deneysel Biyoloji Dergisi"
"1300-3216",,"Türk İdare Dergisi"
"1306-4223","2822-4612","Türk İslam Medeniyeti Akademik Araştırmalar Dergisi"
"1307-699X",,"Türk Jinekoloji ve Obstetrik Derneği Dergisi"
"1016-5169","1308-4488","Türk Kardiyoloji Derneği Arşivi"
,"2980-0749","Türk Klinik Biyokimya Dergisi"
"2536-4898","2536-4901","Türk Kolon ve Rektum Hastalıkları Dergisi"
"1302-4787","2822-2466","Türk Kültürü İncelemeleri Dergisi"
"1306-8253","2147-9895","Türk Kültürü ve Hacı Bektaş Veli Araştırma Dergisi"
"1300-0039","2147-9682","Türk Kütüphaneciliği"
"0258-2171","2458-7516","Türk Mikrobiyoloji Cemiyeti Dergisi"
"1300-7718",,"Türk Nefroloji Diyaliz ve Transplantasyon Dergisi"
"1301-062X","1309-2545","Türk Nöroloji Dergisi"
"1019-5157",,"Türk Nöroşirürji Dergisi"
,"2147-2661","Türk Oftalmoloji Dergisi"
"1300-0659",,"Türk Oftalmoloji Gazetesi"
"1300-7467",,"Türk Onkoloji Dergisi"
"1300-3550",,"Türk Ortodonti Dergisi"
,"2147-2653","Türk Osteoporoz Dergisi"
"0304-4793","1303-6289","Türk Otolarengoloji Arşivi"
"2149-3987","2149-553X","Türk Otorinolarengoloji Arşivi"
,"1309-5730","Türk Patoloji Dergisi"
"1306-0015","1308-6278","Türk Pediatri Arşivi"
"1300-6878",,"Türk Plastik Rekonstrüktif ve Estetik Cerrahi Derg."
"1300-2163","2651-3463","Türk Psikiyatri Dergisi"
"1300-4433",,"Türk Psikoloji Dergisi"
"1301-9961",,"Türk Psikoloji Yazıları"
"1302-1370",,"Türk Psikolojik Danışma ve Rehberlik Dergisi"
,"2148-1210","Türk Radyoloji Seminerleri"
"1301-1375",,"Türk Serebrovasküler Hastalıklar Dergisi"
,"2147-5652","Türk Spor ve Egzersiz Dergisi"
,"2148-127X","Türk Tarım - Gıda Bilim ve Teknoloji dergisi"
,"2148-3647","Türk Tarım ve Doğa Bilimleri Dergisi"
,"1308-5387","Türk Toraks Dergisi"
,"2587-0890","Türk Turizm Araştırmaları Dergisi"
"2148-1504","2148-1504","Türk Uyku Tıbbı Dergisi"
,"2717-7165","Türk Uzaktan Algılama ve CBS Dergisi"
"2148-8274","2587-0084","Türk üreme tıbbı ve cerrahisi dergisi (Online)"
"1300-5804","1308-4631","Türk Üroloji Dergisi/Turkish Journal of Urology"
"2146-3832",,"Türk Üstün Zeka ve Eğitim Dergisi"
,"2602-2974","Türk Yoğun Bakım Dergisi"
"2146-6416",,"Türk Yoğun Bakım Derneği Dergisi"
"2687-3923","2687-461X","Türk-Alman Üniversitesi Hukuk Fakültesi Dergisi"
"1302-6011",,"Türkbilig"
"2717-6398","2651-5164","Türkderm Türk deri hastalıkları ve frengi arşivi"
"1019-214X","1308-6294","Türkderm-Deri Hastalıkları ve Frengi Arşivi"
"1300-5766",,"Türkiyat Araştırmaları Dergisi"
,"2651-3188","Türkiyat Mecmuası"
"1304-7361",,"Türkiye Acil Tıp Dergisi"
"1309-6826",,"Türkiye Adalet Akademisi Dergisi"
,"1308-531X","Türkiye Aile Hekimliği Dergisi"
"1304-2408",,"Türkiye Barolar Birliği Dergisi"
"2146-0035","2548-1002","Türkiye Biyolojik Mücadele Dergisi"
"1307-4490","2148-3566","Türkiye Çocuk Hastalıkları Dergisi"
"2149-9845","2636-7807","Türkiye din eğitimi araştırmaları"
"2587-0335","2587-0572","Türkiye Diyabet ve Obezite Dergisi"
"1300-7939",,"Türkiye Ekopatoloji Derg."
"1010-6960","2536-491X","Türkiye Entomoloji Dergisi"
"1302-0234","1308-6316","Türkiye Fiziksel Tıp ve Rehabilitasyon Dergisi"
,"1304-1088","Türkiye Halk Sağlığı Dergisi"
"1303-6491",,"Türkiye Herboloji Derg."
,"2602-3067","Türkiye İlahiyat Araştırmaları Dergisi"
,"2630-6220","Türkiye İletişim Araştırmaları Dergisi (Online)"
"1016-9164","2564-6745","Türkiye Jeoloji Bülteni"
,"2619-9459","Türkiye Klinikleri Adli Tıp ve Adli Bilimler Dergisi"
"1309-0119","2146-8958","Türkiye Klinikleri Akciğer Arşivi"
"1302-8006",,"Türkiye Klinikleri Allerji-Astım Derg."
,"2146-894X","Türkiye Klinikleri Anesteziyoloji Reanimasyon Dergisi"
,"2146-8877","Türkiye Klinikleri Biyoistatistik Dergisi"
,"2146-9032","Türkiye Klinikleri Cardiovascular Sciences"
,"2146-9016","Türkiye Klinikleri Dermatoloji Dergisi"
,"2146-8966","Türkiye Klinikleri Diş Hekimliği Bilimleri Dergisi"
,"2146-8974","Türkiye Klinikleri Gastroenterohepatoloji Dergisi"
,"2146-8893","Türkiye Klinikleri Hemşirelik Bilimleri Dergisi"
,"2146-9024","Türkiye Klinikleri Jinekoloji Obstetrik Dergisi"
,"2147-9291","Türkiye Klinikleri Journal of Case Reports"
"1300-0284",,"Türkiye Klinikleri Journal of Medical Research"
"1302-8030",,"Türkiye Klinikleri Kalp Damar Cerrahisi Dergisi"
"1300-0314",,"Türkiye Klinikleri Kardiyoloji Dergisi"
,"2146-9008","Türkiye Klinikleri Oftalmoloji Dergisi"
,"2146-8990","Türkiye Klinikleri Pediatri Dergisi"
"1302-7980",,"Türkiye Klinikleri Psikiyatri Dergisi"
,"2536-4391","Türkiye Klinikleri Sağlık Bilimleri Dergisi"
,"2146-8885","Türkiye Klinikleri Spor Bilimleri Dergisi"
"1300-0357",,"Türkiye Klinikleri Tıbbi Etik"
,"2146-9040","Türkiye Klinikleri Tıp Bilimleri Dergisi"
,"2146-8982","Türkiye Klinikleri Tıp Etiği-Hukuku Tarihi Dergisi"
,"2146-8850","Türkiye Klinikleri Veteriner Bilimleri Dergisi"
"1300-3445",,"Türkiye Mühendislik Haberleri"
"2147-7523","2630-5631","Türkiye Ortadoğu Çalışmaları Dergisi"
,"2146-3077","Türkiye Parazitoloji Dergisi"
"1301-370X",,"Türkiye Sosyal Araştırmalar Dergisi"
"2148-2306","2528-858X","Türkiye Tarımsal Araştırmalar Dergisi"
"1300-9338",,"Türkiye Tıp Dergisi Dahili Tıp Bilimleri"
,"2687-4997","Türkiye uzaktan algılama dergisi (Online)"
"2547-9938",,"Türkiye'de Lösemi Lenfoma Miyelom Araştırmaları"
"1302-2466",,"Türkiye'de Psikiyatri Derg."
"1300-7874","2564-6915","Türklük Bilimi Araştırmaları"
"2146-1147",,"TWMS (Turkic World Mathematical Society) Journal of Applied and Engineering Mathematics"
"2146-1759",,"TYB Akademi Dil Edebiyat ve Sosyal Bilimler Dergisi"
,"2667-6818","Tykhe : Sanat ve tasarım dergisi (Online)"
,"2687-5594","Uludağ Arıcılık Dergisi"
,"2980-2482","Uludağ ilahiyat dergisi"
,"2667-6788","Uludağ Üniversitesi Eğitim Fakültesi Dergisi"
,"2564-6834","Uludağ Üniversitesi Fen Edebiyat Fakültesi Sosyal Bilimler Dergisi"
"1301-3394","2667-680X","ULUDAĞ ÜNİVERSİTESİ İLAHİYAT FAKÜLTESİ DERGİSİ"
,"2148-4155","Uludağ Üniversitesi Mühendislik Fakültesi Dergisi"
"2146-989X",,"Uludağ Üniversitesi Mühendislik-Mimarlık Fakültesi Dergisi"
"1300-414X","2645-9027","Uludağ Üniversitesi Tıp Fakültesi Dergisi"
"1301-3173",,"Uludağ Üniversitesi Veteriner Fakültesi Dergisi"
"1301-3165","2636-8595","Uludağ Üniversitesi Ziraat Fakültesi Dergisi"
"1300-0705","1308-8521","Ulusal Cerrahi Dergisi"
"2651-2653","2651-2661","Ulusal Romatoloji Dergisi"
"1300-6738",,"Ulusal Travma Dergisi"
"1306-696X","1307-7945","Ulusal Travma ve Acil Cerrahi Dergisi"
"2147-7213",,"ULUSLARARASI ANTALYA ÜNİVERSİTESİ HUKUK FAKÜLTESİ DERGİSİ"
,"2146-1961","Uluslararası Avrasya Sosyal Bilimler Dergisi"
,"2667-4262","Uluslararası Dil, Edebiyat ve Kültür Araştırmaları Dergisi"
"2146-3638","2619-9068","Uluslararası Eğitim Programları ve Öğretim Çalışmaları Dergisi"
,"2149-6838","Uluslararası Ekonomi ve Yenilik Dergisi"
,"2587-2559","Uluslararası Ekonomi, İşletme ve Politika Dergisi"
"1309-2022",,"Uluslararası Güvenlik ve Terörizm Dergisi"
"2147-4168","2147-5385","ULUSLARARASI HAKEMLİ AKADEMİK VE BEŞERİ BİLİMLER DERGİSİ"
"1306-133X",,"Uluslararası Hematoloji-Onkoloji Dergisi"
"1305-5208",,"Uluslararası Hukuk ve Politika"
"1307-9832","1307-9859","Uluslararası İktisadi ve İdari İncelemeler Dergisi"
"1304-7310",,"Uluslararası İlişkiler"
"2149-8393","2149-8407","Uluslararası İslam Ekonomisi ve Finansı Araştırmaları Dergisi"
,"2718-0247","Uluslararası işletme ve ekonomi çalışmaları dergisi (Online)"
"1307-0169",,"Uluslararası Karadeniz İncelemeleri"
,"1308-5514","Uluslararası Mühendislik Araştırma ve Geliştirme Dergisi"
"1306-9136","2791-9005","Uluslararası Suçlar ve Tarih"
,"2602-4772","Uluslararası tarım araştırmalarında yenilikçi yaklaşımlar dergisi (Online)"
,"2149-8245","Uluslararası Tarım ve Yaban Hayatı Bilimleri Dergisi"
"2146-9717","2149-4207","Uluslararası Ticaret ve Tahkim Hukuku Dergisi"
,"2148-2314","Uluslararası Türk Eğitim Bilimleri Dergisi"
,"2147-0146","Uluslararası Türkçe Edebiyat Kültür Eğitim (TEKE) Dergisi"
,"2791-7045","Uluslararası Türkçe Öğretimi Araştırmaları Dergisi (UTÖAD) (Online)"
"2147-9208","2147-9194","Uluslararası Yönetim İktisat ve İşletme Dergisi"
,"2667-4939","Umde dini tetkikler dergisi (Online)"
,"2980-1478","Urology research and practice"
"1308-0334",,"USAK Yearbook of Politics and International Relations"
"1305-2632","2147-8279","Usul İslam Araştırmaları"
